archive_year,subject,file_count,total_bytes,sessions,status,source_year_url,note
2024,Korean A Language and Literature,8,10549695,May 2024 Examination Session; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,Korean A Literature,8,6356700,May 2024 Examination Session; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,Japanese A Language and Literature,8,69363856,May 2024 Examination Session; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,Japanese A Literature,5,3143509,May 2024 Examination Session; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,Spanish A Language and Literature,12,10294821,May 2024 Examination Session; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,Spanish A Literature,12,6804086,May 2024 Examination Session; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,Spanish B,42,114089870,May 2024 Examination Session; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,English A Language and Literature,20,42008045,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,English A Literature,20,11597658,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,English B,53,118107276,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,Korean A Language and Literature,8,11105805,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,Korean A Literature,8,6009865,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,Japanese A Language and Literature,8,44023166,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,Japanese A Literature,8,5469180,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,Spanish A Language and Literature,12,7760888,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,Spanish A Literature,13,7001926,May 2025 Examination Session; More Papers M25; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2025,Spanish B,52,126944078,May 2025 Examination Session; November 2025 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2025,All matching files discovered in the crawled session pages were retained and hash-verified.
2026,English A Language and Literature,1,1699284,More Papers M26,partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,English A Literature,0,0,,unavailable_in_partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,English B,5,4551437,More Papers M26,partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,Korean A Language and Literature,0,0,,unavailable_in_partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,Korean A Literature,0,0,,unavailable_in_partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,Japanese A Language and Literature,0,0,,unavailable_in_partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,Japanese A Literature,0,0,,unavailable_in_partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,Spanish A Language and Literature,0,0,,unavailable_in_partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,Spanish A Literature,0,0,,unavailable_in_partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
2026,Spanish B,0,0,,unavailable_in_partial_archive_snapshot,https://dl.ibdocs.re/past-papers/2026,The mirror exposed only the More Papers M26 area at retrieval; no complete May or November 2026 session was listed. This row cannot establish full 2026 availability.
